ID,FULL_NAME,FIRST_NAME,LAST_NAME,CALLING_NBR,CALLED_NBR,START_DATE,END_DATE,DURATION,CELL_SITE,CITY,STATE,ADDRESS_CELL_SITE
17,Steel Wiley,Steel,Wiley,1-963-169-1967,1-289-219-4894,1575672594,1575370170,6160,13,Cap-Rouge,QC,8150 Eget St.
18,Bryar Floyd,Bryar,Floyd,1-632-961-9595,1-521-896-3862,1549559373,1573849181,6235,146,Bowden,Alberta,4082 Phasellus St.
19,Xyla Hood,Xyla,Hood,1-399-702-6909,1-270-529-9052,1586926046,1563568563,2663,65,Moncton,NB,"P.O. Box 930, 5639 Diam. St."
20,Malcolm Calhoun,Malcolm,Calhoun,1-211-623-9060,1-727-346-9665,1579342183,1554836112,1845,13,Kitchener,ON,9685 Pharetra St.
21,Merritt White,Merritt,White,1-964-538-1433,1-226-593-8813,1581123486,1587197152,9557,189,Chelsea,QC,3552 Enim Street
22,Aurora Griffin,Aurora,Griffin,1-649-898-7019,1-893-783-8795,1573027835,1565706436,2913,168,Whitewater Region Township,Ontario,"P.O. Box 101, 9529 At Ave"
23,Kuame Hicks,Kuame,Hicks,1-689-393-8728,1-880-144-0334,1572892202,1579543253,9826,125,Gespeg,Quebec,"P.O. Box 760, 8454 Eu Rd."
24,Zachary Walters,Zachary,Walters,1-962-913-8633,1-807-167-8125,1587291196,1563019704,10363,146,Ancaster Town,Ontario,9662 Pharetra. St.
25,Noah Sargent,Noah,Sargent,1-527-280-4017,1-238-851-1641,1582581541,1589195452,9745,144,Kapuskasing,Ontario,522-1175 Consectetuer Avenue
26,Athena Clark,Athena,Clark,1-618-994-5068,1-590-599-3396,1549043289,1579390382,53,51,Ramara,Ontario,Ap #700-705 Lorem Rd.
27,Ruby Mccormick,Ruby,Mccormick,1-923-387-0661,1-569-257-1573,1589432591,1564782776,2112,76,Mansfield-et-Pontefract,Quebec,7974 Vitae Rd.
28,Hayley Erickson,Hayley,Erickson,1-592-922-4948,1-649-994-9163,1588712789,1560464552,2303,54,Barrhead,Alberta,Ap #348-4544 Orci Ave
29,Moses Leonard,Moses,Leonard,1-340-683-1900,1-256-966-2767,1563977313,1547415970,8719,67,Hamilton,Ontario,"P.O. Box 860, 9765 In, Rd."
30,Merrill Church,Merrill,Church,1-603-530-0796,1-281-361-8031,1562450496,1579141480,1676,48,Kapuskasing,ON,659-1651 Ridiculus St.
31,Claudia Mathis,Claudia,Mathis,1-904-638-6624,1-803-307-3112,1577185740,1556750753,5515,104,Clearwater Municipal District,AB,433-7108 Mauris St.
32,Kylee Wilson,Kylee,Wilson,1-652-109-0709,1-176-125-9979,1564850235,1555287237,7205,160,Rivière-du-Loup,QC,Ap #124-456 Phasellus Avenue
33,Samantha Mason,Samantha,Mason,1-947-614-8982,1-901-682-5592,1559314358,1551034626,9088,64,Redwater,AB,"P.O. Box 869, 4980 Mauris Road"
34,Ishmael Solis,Ishmael,Solis,1-161-444-4146,1-838-916-2468,1560429648,1579022513,7981,122,Barrie,ON,Ap #786-2672 Vel Ave
35,Abdul Crosby,Abdul,Crosby,1-692-604-9230,1-509-820-7455,1554014143,1579697397,9893,24,Maria,QC,"P.O. Box 919, 3169 Tincidunt St."
36,Imani Foreman,Imani,Foreman,1-291-430-7479,1-974-409-3356,1553044877,1557273429,4184,187,Notre-Dame-du-Nord,Quebec,"P.O. Box 898, 4317 Et Road"
37,Cooper Campos,Cooper,Campos,1-225-299-4011,1-966-355-4849,1550168333,1573229384,2423,122,Chicoutimi,Quebec,Ap #812-4593 Magna. St.
38,Barry Diaz,Barry,Diaz,1-813-655-9726,1-485-532-1658,1547126434,1567287445,1268,111,Essex,ON,Ap #637-8510 Sed Rd.
39,Bevis Ramsey,Bevis,Ramsey,1-923-324-7802,1-828-194-2428,1580547367,1549445807,2589,62,Kearny,Ontario,"P.O. Box 966, 8391 Cras Rd."
40,Brock Leach,Brock,Leach,1-435-241-3272,1-469-480-3836,1567324597,1574920367,4430,176,Bay Roberts,NL,2431 Erat Avenue
41,Tara Kelly,Tara,Kelly,1-458-549-3263,1-848-954-3347,1564736761,1577397740,2571,25,Thorold,ON,"P.O. Box 355, 4135 Erat Rd."
42,Rhea Padilla,Rhea,Padilla,1-605-520-9226,1-754-677-6151,1588403143,1564306368,4353,65,Greater Sudbury,Ontario,Ap #961-4281 Adipiscing Ave
43,Troy Mcgee,Troy,Mcgee,1-335-182-0943,1-701-398-8566,1578011868,1578481498,8241,35,Dorval,QC,7717 Eleifend Rd.
44,Mohammad Schwartz,Mohammad,Schwartz,1-851-698-3791,1-501-473-1557,1564167538,1562434692,2722,159,Wilmont,Ontario,"P.O. Box 845, 6680 Metus St."
45,Xanthus Benton,Xanthus,Benton,1-897-623-2951,1-359-499-5224,1554525724,1589465387,6341,81,Richmond,British Columbia,"2555 Nec, St."
46,August Waters,August,Waters,1-795-879-4549,1-284-151-9676,1550003532,1566364635,3548,50,Newmarket,ON,6959 Vehicula St.
47,Wade James,Wade,James,1-986-771-3948,1-465-631-2970,1553832790,1558905241,2204,173,Fraser-Fort George,British Columbia,"P.O. Box 379, 2748 Laoreet, Road"
48,Upton Mooney,Upton,Mooney,1-572-203-0834,1-792-269-7341,1549161292,1574215293,3702,70,Dieppe,NB,628 Ultrices Ave
49,Iona Vincent,Iona,Vincent,1-446-677-2718,1-369-891-1833,1549355182,1549625022,454,110,Nanaimo,British Columbia,1839 Tristique Road
50,Maggie Stokes,Maggie,Stokes,1-601-605-7056,1-451-716-1710,1590746280,1554632088,522,15,Kelowna,BC,9998 Arcu. Street
51,Bradley Singleton,Bradley,Singleton,1-776-869-5711,1-747-510-2362,1562771479,1584425751,5759,15,Price,QC,6185 Magna Av.
52,Tanek Glass,Tanek,Glass,1-743-680-6661,1-942-338-0441,1557231327,1590039412,4402,187,Goderich,ON,"P.O. Box 157, 9104 In Av."
53,Connor Meyers,Connor,Meyers,1-129-969-1228,1-329-783-2200,1582773636,1556213702,4184,33,Wabamun,Alberta,"859-5933 Leo, St."
54,Aphrodite Hyde,Aphrodite,Hyde,1-529-976-6921,1-643-111-6649,1584871490,1565189086,9427,183,Beausejour,Manitoba,"P.O. Box 752, 8107 Vulputate Avenue"
55,Sylvester Robertson,Sylvester,Robertson,1-772-616-6132,1-598-878-7172,1546835509,1556560915,1875,146,Senneville,Quebec,"317-3515 Pharetra, Ave"
56,Daria Craft,Daria,Craft,1-123-194-4270,1-583-868-0341,1576408286,1557528580,3862,141,Minitonas,MB,"P.O. Box 161, 3096 Urna Rd."
57,Francesca Delacruz,Francesca,Delacruz,1-551-540-6204,1-651-795-4507,1555243993,1574101662,3149,104,Tumbler Ridge,British Columbia,906-9490 Sapien St.
58,Eric Flores,Eric,Flores,1-557-412-0838,1-464-164-5648,1554168510,1557372229,245,6,Burnaby,British Columbia,"Ap #650-6139 Enim, Rd."
59,Kadeem Ware,Kadeem,Ware,1-537-247-9724,1-313-649-6746,1552853213,1563495151,10624,170,Lourdes,MB,3765 Sollicitudin Road
60,Ila England,Ila,England,1-222-743-1557,1-157-413-1898,1588508015,1580225008,7131,89,Maple Ridge,British Columbia,Ap #313-2667 Amet Road
61,Zelda Swanson,Zelda,Swanson,1-961-869-7381,1-782-328-5124,1547493709,1552662636,7798,20,Warwick,Ontario,Ap #957-4435 Pede. Ave
62,Owen Cote,Owen,Cote,1-746-118-4496,1-363-735-7680,1583637065,1560800352,9447,59,Cariboo Regional District,British Columbia,"P.O. Box 575, 1208 Proin Rd."
63,Imani Horne,Imani,Horne,1-925-907-2985,1-729-221-8472,1551877338,1588101959,139,127,Montpellier,QC,3549 Nulla St.
64,Drake Farrell,Drake,Farrell,1-868-304-1326,1-145-334-6334,1572403884,1548160080,5246,80,Rigolet,NL,2861 Eu St.
65,Flynn Brady,Flynn,Brady,1-529-535-5522,1-710-593-6176,1565459205,1563431695,1321,155,Ponoka,Alberta,744-7441 Mauris St.
66,Daniel Fuentes,Daniel,Fuentes,1-547-898-7998,1-966-927-0626,1559123084,1548379753,9155,152,Ville de Maniwaki,Quebec,725-6735 Turpis Road
67,Clio Turner,Clio,Turner,1-835-278-8035,1-501-822-8885,1552531934,1577326753,7949,111,Legal,Alberta,"P.O. Box 668, 9441 Augue Street"
68,Wylie Harper,Wylie,Harper,1-935-426-5414,1-771-646-9672,1584440313,1587517794,3189,176,Cumberland,Ontario,2499 Eu Rd.
69,Cairo Haynes,Cairo,Haynes,1-958-822-4743,1-510-972-1807,1578978029,1575432673,774,95,Montebello,Quebec,Ap #312-7930 Erat Rd.
70,Timon Suarez,Timon,Suarez,1-468-101-4022,1-277-723-4834,1566214914,1573175802,3563,137,Saint-Urbain,QC,Ap #775-3636 Metus St.
71,Brady Hansen,Brady,Hansen,1-574-989-4203,1-907-865-4046,1589487020,1570216833,10639,126,Nanton,Alberta,"P.O. Box 189, 9608 Tincidunt Ave"
72,Kirk Manning,Kirk,Manning,1-643-270-3434,1-535-186-0161,1570565931,1553684893,9770,19,Whitby,Ontario,"P.O. Box 667, 6669 Facilisis, Avenue"
73,Ivor Guerra,Ivor,Guerra,1-482-185-4407,1-862-178-0824,1564059881,1547277389,7817,97,Notre-Dame-du-Nord,Quebec,"P.O. Box 351, 5304 Scelerisque St."
74,Timon Alvarado,Timon,Alvarado,1-988-129-9684,1-165-230-0531,1575334490,1590542006,10701,84,Champlain,QC,474-3041 Vel Ave
75,Chadwick Mckenzie,Chadwick,Mckenzie,1-955-789-7597,1-333-634-2851,1588825904,1574335777,5128,147,Toronto,ON,Ap #523-5865 Pellentesque Street
76,Paula Horne,Paula,Horne,1-854-577-1729,1-626-260-7983,1575151924,1567764037,2888,105,Arviat,Nunavut,Ap #106-8238 Nulla Av.
77,Beck Mayo,Beck,Mayo,1-984-260-7728,1-967-945-7288,1558232477,1565137369,6084,89,East Gwillimbury,ON,"P.O. Box 281, 8361 Aliquam Rd."
78,Mannix Reeves,Mannix,Reeves,1-903-464-4809,1-644-544-9135,1547349318,1547621129,3011,105,Minitonas,MB,"191-5395 Dui, Avenue"
79,Megan Nelson,Megan,Nelson,1-506-505-6416,1-286-327-8750,1571902033,1579976683,6662,153,Notre-Dame-du-Nord,QC,"P.O. Box 351, 6284 Eu Rd."
80,Ryan Burch,Ryan,Burch,1-905-690-3157,1-278-224-1168,1589523215,1550501999,5793,113,Kawartha Lakes,Ontario,Ap #499-4562 Arcu Av.
81,Grant Wagner,Grant,Wagner,1-835-685-9126,1-691-873-6611,1590018219,1569556852,499,147,Coldstream,BC,"P.O. Box 477, 993 Et St."
82,Ria Cameron,Ria,Cameron,1-791-848-3422,1-879-387-8479,1579331191,1546704350,5708,55,Woodstock,Ontario,"P.O. Box 519, 7667 Iaculis Road"
83,Tatyana Molina,Tatyana,Molina,1-605-363-8607,1-106-281-2132,1548371961,1579701546,3713,154,King Township,Ontario,"P.O. Box 904, 2180 Tempus Street"
84,Aiko Knapp,Aiko,Knapp,1-548-201-2549,1-542-352-0279,1564564228,1578215236,6478,159,Barrie,ON,"P.O. Box 854, 1683 Erat St."
85,Alden Zamora,Alden,Zamora,1-789-225-3934,1-336-960-1275,1571858284,1569815903,107,174,LaSalle,QC,Ap #699-9566 Vitae St.
86,Keely Cantrell,Keely,Cantrell,1-411-899-1814,1-627-178-4280,1579164343,1585050446,9328,146,Flin Flon,MB,"P.O. Box 436, 1268 Arcu. St."
87,Bree Sawyer,Bree,Sawyer,1-264-116-9850,1-356-484-1189,1549731926,1571949632,8153,11,Kent,BC,"9670 Vel, Road"
88,Candice York,Candice,York,1-316-385-9046,1-360-105-3343,1567467455,1558186561,829,72,Alix,AB,3740 Ac Av.
89,Amal Sawyer,Amal,Sawyer,1-719-968-7209,1-335-219-6093,1548944160,1578225964,2978,17,Norfolk County,ON,Ap #980-227 Curabitur Avenue
90,Ross Ford,Ross,Ford,1-164-738-4209,1-860-405-7525,1582994943,1552720332,1147,43,Calder,Saskatchewan,8709 Rutrum. Avenue
91,Josephine Wagner,Josephine,Wagner,1-320-775-2422,1-580-680-1094,1573307475,1582401615,9379,20,Lions Bay,British Columbia,"P.O. Box 784, 3771 Nibh Rd."
92,Luke Witt,Luke,Witt,1-741-469-4108,1-445-457-2500,1564575808,1585969368,10696,178,Bath,Ontario,"P.O. Box 449, 2178 Leo. Avenue"
93,Giselle Mcmahon,Giselle,Mcmahon,1-195-417-7540,1-134-389-2903,1586436448,1549658033,5666,35,Trochu,Alberta,784-7101 Interdum Avenue
94,Abraham Fuentes,Abraham,Fuentes,1-425-863-7102,1-417-665-6712,1563211651,1562316803,6192,162,Labrecque,Quebec,7905 Felis. Rd.
95,Caesar Rivers,Caesar,Rivers,1-786-989-3659,1-736-990-7803,1569034189,1555683626,8402,38,Whitby,Ontario,Ap #422-6273 Morbi Rd.
96,Montana Riggs,Montana,Riggs,1-941-365-1146,1-525-452-3413,1588914811,1559847108,4391,153,Malahide,ON,"P.O. Box 692, 708 Aliquam St."
97,Tucker Prince,Tucker,Prince,1-269-108-0633,1-930-880-7426,1558346001,1555173555,9528,143,Scarborough,Ontario,822-7899 Duis Avenue
98,Sacha Armstrong,Sacha,Armstrong,1-213-976-0861,1-644-986-9116,1559790375,1581416322,2588,93,Saint John,NB,"P.O. Box 758, 7279 Lobortis Rd."
99,Alfreda Moore,Alfreda,Moore,1-721-136-9621,1-108-263-0836,1570918972,1574590332,8667,69,Ottawa-Carleton,Ontario,"P.O. Box 335, 4331 Id Rd."
